"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"190","LEC","Ckb",1.10462514446404,0.00547553945906225,1,0.75,0.439
"191","LEC","Myadm",1.10287497216088,0.00551341746563034,1,0.5,0.265
"192","LEC","Serpine2",1.18073923092588,0.00577758653120523,1,0.5,0.139
"193","LEC","Tmem55b",1.14091791358501,0.0061201337658523,1,0.5,0.341
"194","LEC","Ptx3",1.11116873281092,0.00697647998451032,1,0.5,0.024
"195","LEC","Cfh",1.14296995833218,0.00721791998525441,1,0.25,0.421
"196","LEC","Arfgap2",1.40273610618056,0.0073942678981702,1,0.5,0.35
"197","LEC","Ephb4",1.04379182763767,0.00818922014287515,1,0.75,0.314
"198","LEC","B230354K17Rik",1.04896665199962,0.00862073789499482,1,0.5,0.037
"199","LEC","Tkt",1.03315785107325,0.00954241731859824,1,0.75,0.325
"200","LEC","Txnip",1.26185197508677,0.00955196426278763,1,1,0.489
"201","EC_2","Mgp",2.08098890897795,6.47323119254396e-40,1.38585406601174e-35,0.943,0.391
"202","EC_2","Tmem252",1.3421337208967,7.52298336443841e-30,1.61059550849262e-25,0.871,0.33
"203","EC_2","Slco1a4",1.18289182521473,7.55187210754469e-28,1.61678029950424e-23,0.8,0.208
"204","EC_2","Vwf",1.0041407098626,5.7178571589942e-22,1.22413603916907e-17,0.714,0.156
"205","EC_2","Emp1",0.830393827531027,2.0591371246274e-15,4.40840667011481e-11,0.986,0.87
"206","EC_2","Tm4sf1",0.736624618219921,3.46568598571006e-15,7.41968712680666e-11,1,0.986
"207","EC_2","Sele",1.1065104627095,1.33070948893996e-14,2.84891594487156e-10,0.586,0.181
"208","EC_2","Aqp11",0.553947084269604,2.02664808943832e-14,4.33885089467851e-10,0.471,0.096
"209","EC_2","Slc2a1",0.77857316063572,2.61752266994886e-14,5.60385428409352e-10,0.814,0.542
"210","EC_2","Cthrc1",0.794669029409442,8.04959780727887e-14,1.72333839456033e-09,0.529,0.172
"211","EC_2","Lrg1",0.949883593624339,1.22350847711069e-13,2.61940929864627e-09,0.829,0.467
"212","EC_2","Ets1",0.561142017329461,2.3061215732341e-13,4.93717567613687e-09,0.943,0.841
"213","EC_2","Ifi203",0.679930916340235,2.82370939820492e-13,6.04527945061691e-09,0.943,0.73
"214","EC_2","Lrrc8c",0.647516168749408,3.22456243323249e-13,6.90346571330745e-09,0.886,0.634
"215","EC_2","Gbp5",0.753718215591974,3.22551267838351e-13,6.90550009315127e-09,0.814,0.464
"216","EC_2","Pmaip1",0.811494312615845,4.55081263289954e-13,9.74283476577463e-09,0.757,0.446
"217","EC_2","Myof",0.53311844598435,4.97630475680131e-13,1.06537708538359e-08,0.4,0.062
"218","EC_2","Col18a1",0.93529690111036,8.1159988076805e-13,1.73755418473632e-08,0.629,0.226
"219","EC_2","Mndal",0.689758899401489,1.83437376864433e-12,3.92721080129065e-08,0.829,0.605
"220","EC_2","Slc39a8",0.642558821753779,2.42705202025908e-12,5.19607567017266e-08,0.571,0.192
"221","EC_2","Cfh",0.979973221079422,2.84626150142679e-12,6.09356124840462e-08,0.729,0.38
"222","EC_2","Lef1",0.480524968647755,3.12736992933485e-12,6.69538628171299e-08,0.429,0.082
"223","EC_2","Lap3",0.655711308062202,3.46821264187121e-12,7.42509644498208e-08,0.6,0.281
"224","EC_2","Cpe",0.828656203173606,3.705057009283e-12,7.93215655117397e-08,0.429,0.13
"225","EC_2","Slc6a6",0.620314366327841,8.99227386690926e-12,1.9251559121666e-07,0.943,0.582
"226","EC_2","Cygb",0.48556750415398,1.02227803668626e-11,2.18859504874162e-07,0.357,0.058
"227","EC_2","Rnd1",0.92347400641406,1.51019857467008e-11,3.23318412851116e-07,0.8,0.52
"228","EC_2","Mkl2",0.61688324604331,2.49193057928256e-11,5.33497417718603e-07,0.743,0.44
"229","EC_2","Grrp1",0.678597286114067,2.86609881095937e-11,6.13603094438292e-07,0.914,0.694
"230","EC_2","Spock2",0.674925962893878,3.3278044471084e-11,7.12449654081437e-07,0.371,0.071
"231","EC_2","Pim3",0.753431441618382,3.60337715486064e-11,7.71447015084114e-07,0.929,0.801
"232","EC_2","Pim1",0.587091271507923,4.12375617571049e-11,8.82854959657858e-07,0.929,0.81
"233","EC_2","Ptprb",0.555480332484188,5.10786936396939e-11,1.09354375213221e-06,0.957,0.804
"234","EC_2","Abcb1a",0.64616547387533,9.46322146006355e-11,2.02598108238501e-06,0.743,0.42
"235","EC_2","Lima1",0.554157194022576,1.63141378431322e-10,3.49269377083616e-06,0.757,0.553
"236","EC_2","Gja1",0.625627746562521,1.82855500042075e-10,3.91475340040078e-06,0.943,0.701
"237","EC_2","Nfkbia",0.615521662523073,5.32173357579948e-10,1.13932994124291e-05,0.971,0.946
"238","EC_2","Stra6",0.788697192579764,9.37183868283734e-10,2.00641694360865e-05,0.5,0.194
"239","EC_2","Mctp1",0.464713189202029,1.23792404916572e-09,2.65027159685888e-05,0.729,0.339
"240","EC_2","Ctsh",0.476712828486523,1.39348638114635e-09,2.98331499339622e-05,0.386,0.087
"241","EC_2","Tgm2",0.572260450575325,1.79882736405641e-09,3.85110950370838e-05,0.914,0.696
"242","EC_2","Vcam1",1.02096629110866,2.08407144582194e-09,4.46178855836019e-05,0.429,0.118
"243","EC_2","Prss23",0.425589276621802,2.10660543255798e-09,4.51003157056338e-05,1,0.774
"244","EC_2","Arhgap20",0.463230620482498,2.13505769866758e-09,4.57094502707743e-05,0.314,0.06
"245","EC_2","Foxq1",0.704061535629106,2.44178208700563e-09,5.22761127007035e-05,0.529,0.185
"246","EC_2","Bsg",0.45891203253547,2.80343435406567e-09,6.0018726086192e-05,0.943,0.868
"247","EC_2","Cd200",0.544064288932233,3.01597573132805e-09,6.45690244320022e-05,0.957,0.835
"248","EC_2","Edn1",1.00742446439636,3.16646166391066e-09,6.77907777626632e-05,0.643,0.346
"249","EC_2","Gbp4",0.647472927935172,4.85476274319368e-09,0.000103935615569033,0.843,0.538
"250","EC_2","Glul",0.669106315155415,6.96876725536092e-09,0.000149194338170022,0.629,0.428
"251","EC_2","Rhob",0.607092575381224,8.280627966014e-09,0.000177279964124394,0.957,0.812
"252","EC_2","Gbp2",0.652653518573705,1.18816404798949e-08,0.000254374041034069,0.971,0.795
"253","EC_2","Jak2",0.518445386391244,1.38630272383964e-08,0.000296793550146829,0.729,0.527
"254","EC_2","Cyyr1",0.485760852949107,1.44449927435363e-08,0.000309252849646369,0.929,0.746
"255","EC_2","Gja4",0.848774507133304,1.73520283419816e-08,0.000371489574773485,0.357,0.109
"256","EC_2","Tpd52",0.425336811603591,1.79927990382441e-08,0.000385207834609767,0.529,0.199
"257","EC_2","Gpr4",0.498291879994494,3.34926796327374e-08,0.000717044778257274,0.514,0.239
"258","EC_2","Ch25h",0.655268242530663,4.30620536912884e-08,0.000921915507476793,0.343,0.096
"259","EC_2","Entpd1",0.460741154243802,4.3252130756062e-08,0.000925984867356531,0.843,0.589
"260","EC_2","Ier5",0.463601724678413,4.48040787677332e-08,0.000959210522338401,0.886,0.737
"261","EC_2","Mecom",0.431117228005663,4.50554885071378e-08,0.000964592953449312,0.471,0.161
"262","EC_2","Xbp1",0.565720790509735,6.26090420485314e-08,0.00134039698121701,0.886,0.757
"263","EC_2","Auts2",0.432440583812721,6.46136602211961e-08,0.00138331385167559,0.586,0.288
"264","EC_2","Mast4",0.471245191483014,7.30560815037782e-08,0.00156405764891439,0.943,0.795
"265","EC_2","Clec2d",0.415849599509615,1.05447042207326e-07,0.00225751572661665,0.971,0.931
"266","EC_2","Spns2",0.456188419891373,1.87132071310542e-07,0.0040063105146874,0.586,0.315
"267","EC_2","Trim30a",0.469963168582056,1.91014449910354e-07,0.00408942835813078,0.743,0.476
"268","EC_2","Mt2",0.763370556079917,2.22835168028743e-07,0.00477067811232736,0.629,0.455
"269","EC_2","Abcg2",0.457807491307462,2.25488168672659e-07,0.00482747620311296,0.829,0.676
"270","EC_2","Bpgm",0.687674127326221,2.25561051906557e-07,0.00482903656026748,0.571,0.371
"271","EC_2","Pcdh7",0.423627453733966,2.68295522526173e-07,0.00574393884176284,0.329,0.103
"272","EC_2","Stom",0.512884007967245,2.83672650836771e-07,0.00607314778176442,0.543,0.268
"273","EC_2","Fzd6",0.511322460605324,2.93821665104105e-07,0.00629042802821379,0.643,0.38
"274","EC_2","Mt1",0.772163585642857,4.90672160037638e-07,0.0105048002742458,0.786,0.692
"275","EC_2","Osmr",0.478680624221179,4.96353602184266e-07,0.0106264342691629,0.857,0.656
"276","EC_2","Swap70",0.440184493238991,5.23019673372933e-07,0.0111973281872411,0.843,0.71
"277","EC_2","Avpi1",0.488820391766135,5.73776731367627e-07,0.0122839860418495,0.443,0.274
"278","EC_2","Btg1",0.439375595548006,5.87985977104146e-07,0.0125881917838227,0.914,0.871
"279","EC_2","Mal",0.748366505019381,6.64087009586608e-07,0.0142174387882397,0.529,0.232
"280","EC_2","P2ry6",0.425579476923739,7.08026251712005e-07,0.0151581340229023,0.257,0.058
"281","EC_2","Rnf125",0.453564843888172,1.22509236215892e-06,0.0262280023814602,0.8,0.529
"282","EC_2","Zfp36",0.56048223460681,1.2261435313488e-06,0.0262505068626465,0.771,0.62
"283","EC_2","Arid5b",0.447786011067612,1.58968813462088e-06,0.0340336332740985,0.757,0.478
"284","EC_2","Csf2rb",0.68555357710044,2.39056146467611e-06,0.0511795303972509,0.343,0.121
"285","EC_2","Gpcpd1",0.555377346312267,2.49935516774749e-06,0.053508694786306,0.657,0.455
"286","EC_2","Tnfaip3",0.48554362735621,3.85020680437586e-06,0.0824290774748828,0.671,0.393
"287","EC_2","Errfi1",0.613731756265576,4.08154325161493e-06,0.0873817594738241,0.843,0.701
"288","EC_2","Htra1",0.571716005437015,4.37913478913217e-06,0.0937528967005306,0.386,0.149
"289","EC_2","Atp8b1",0.413959814238,5.14045861988547e-06,0.110052078593128,0.3,0.092
"290","EC_2","Ifi202b",0.708986717143795,1.33060613250408e-05,0.284869466907799,0.671,0.458
"291","EC_2","Gadd45g",0.438396161024105,2.77130618341712e-05,0.593308940807771,0.914,0.759
"292","EC_2","Rgs3",0.427379014961543,4.67874410122944e-05,1,0.643,0.437
"293","EC_2","Smim3",0.452710212527724,5.35359367123947e-05,1,0.371,0.196
"294","EC_2","Slc30a1",0.42412018188773,7.90653555064339e-05,1,0.657,0.44
"295","EC_2","Fas",0.485396751582776,0.000149870148771661,1,0.614,0.451
"296","EC_2","Adamts4",0.469913150340919,0.000928419879673518,1,0.586,0.5
"297","EC_2","Bmp4",0.559111177275612,0.00144699575177967,1,0.429,0.283
"298","EC_2","Serpina3g",0.691640172903262,0.00257035993145497,1,0.429,0.245
"299","EC_2","Ripk3",0.41259580183193,0.00421208688755373,1,0.443,0.292
"300","EC_2","Cyr61",0.473208214472668,0.00554791909978536,1,0.5,0.393
"301","EC_3","Hilpda",1.46259636958224,1.98714063521243e-76,4.25426938592629e-72,0.979,0.671
"302","EC_3","Car8",1.12479822884264,3.31102229673158e-64,7.08856763507265e-60,0.881,0.256
"303","EC_3","Fam174b",1.11628182805967,2.19238022382077e-63,4.69366682117788e-59,0.953,0.443
"304","EC_3","Emp2",1.02299394460519,2.45827134748123e-56,5.26291312782257e-52,0.877,0.329
"305","EC_3","Ramp3",1.00937529863558,6.36724308674998e-55,1.3631630724423e-50,0.966,0.513
"306","EC_3","Smad6",0.965680314835454,6.93935023819151e-55,1.48564549249442e-50,0.881,0.303
"307","EC_3","Plvap",0.834905098838613,5.25242901095476e-52,1.12449252695531e-47,1,0.917
"308","EC_3","Rgs9",0.654636043210335,2.20062806967277e-51,4.71132463436242e-47,0.636,0.075
"309","EC_3","Srgn",0.755273465352503,3.4950080012054e-48,7.48246262978065e-44,1,0.777
"310","EC_3","Cd24a",0.95410752796769,3.65435065138189e-48,7.82359930954349e-44,0.962,0.531
"311","EC_3","Id4",0.86969957414959,1.78407661920903e-46,3.8195296340646e-42,0.852,0.277
"312","EC_3","Timp3",0.763723154304002,4.23254738353926e-45,9.06146069341919e-41,1,0.964
"313","EC_3","Tsc22d1",0.915119914827979,4.7249408219156e-45,1.01156258056391e-40,0.996,0.782
"314","EC_3","Cd81",0.683575557024789,2.91435780612083e-44,6.23934862712408e-40,0.996,0.904
"315","EC_3","Egfl7",0.698711688537275,2.15919607239781e-43,4.62262287139648e-39,1,0.922
"316","EC_3","Nrip1",0.738365119811189,6.46979513161381e-42,1.3851184397272e-37,0.962,0.689
"317","EC_3","Sh3bp5",0.783661957238548,1.33714142723351e-41,2.86268608156422e-37,0.945,0.671
"318","EC_3","Slc1a1",0.678085512648545,4.65671319433028e-41,9.9695572777417e-37,0.716,0.176
"319","EC_3","Plpp1",0.806295733239689,8.13648052267089e-41,1.74193911509861e-36,0.983,0.749
"320","EC_3","Nrarp",0.906004946104295,1.04716333847774e-39,2.24187199134699e-35,0.742,0.228
"321","EC_3","Ihh",0.90040983107132,2.39324185257095e-38,5.12369148216914e-34,0.466,0.039
"322","EC_3","Gnai2",0.536594677615904,2.93652718224305e-38,6.28681104446416e-34,0.992,0.92
"323","EC_3","Got1",0.804005894689667,3.99199531723507e-38,8.54646277466856e-34,0.843,0.386
"324","EC_3","Avl9",0.85558694488375,7.24874571282519e-38,1.55188396965874e-33,0.86,0.42
"325","EC_3","Igfbp3",0.844735564780883,1.70759281279716e-37,3.65578545291745e-33,0.962,0.567
"326","EC_3","Dhrs3",0.644601501088324,1.04123786922991e-35,2.22918615423432e-31,0.881,0.433
"327","EC_3","Six3",0.498063768743396,1.30359129742629e-35,2.79085860865994e-31,0.619,0.137
"328","EC_3","Cyp26b1",0.989145351163565,2.13212428886454e-35,4.56466489003009e-31,0.636,0.148
"329","EC_3","Pdia5",0.66322612872937,4.94989382967917e-35,1.05972276999601e-30,0.644,0.155
"330","EC_3","Esm1",0.474296235871829,5.79908124458368e-35,1.24152530365292e-30,0.839,0.347
"331","EC_3","Ybx1",0.508983728168127,1.24125527828401e-34,2.65740342527823e-30,0.996,0.938
"332","EC_3","Kcnk5",0.568270745067743,1.3931449581447e-34,2.98258404089199e-30,0.589,0.119
"333","EC_3","Cx3cl1",0.69393298713793,1.10838224544374e-33,2.37293554927051e-29,0.758,0.269
"334","EC_3","Npr3",0.498431494249263,3.3386577023405e-33,7.14773227494078e-29,0.415,0.036
"335","EC_3","Esam",0.505714590414545,1.22807536771521e-32,2.62918655474149e-28,1,0.738
"336","EC_3","Stc1",0.828594586526763,1.90817476934158e-32,4.08521136368339e-28,0.911,0.531
