"","cluster","gene","avg_log2FC_vs_full_dataset","p_val","p_val_corrected","pct_of_cells_in_cluster_expressing_gene","pct_of_cells_in_dataset_expressing_gene"
"3139","22","Igkc",3.46725679730785,2.76027698016156e-147,5.90947698682788e-143,0.351,0.003
"3140","22","Rps29",0.984141980612242,1.31355541661911e-146,2.81219079143986e-142,0.991,0.987
"3141","22","Ltb",1.73580917175916,5.05886562732027e-146,1.083052542153e-141,0.414,0.009
"3142","22","Selplg",1.49949758070323,2.41050618474043e-144,5.16065269091079e-140,0.491,0.033
"3143","22","Rps7",1.00703454802198,4.40289110825339e-142,9.42614957365968e-138,1,0.984
"3144","22","Cd3g",1.75388504234145,8.2516012060027e-141,1.76658530219312e-136,0.333,0
"3145","22","Ccr7",1.85163762753666,1.6995520438227e-140,3.63857097062001e-136,0.45,0.008
"3146","22","Rpsa",1.03809451353926,8.05196515093121e-139,1.72384521916286e-134,1,0.991
"3147","22","AW112010",2.54008460517132,1.51319431436824e-138,3.23959770763097e-134,0.302,0.05
"3148","22","Rps5",0.980938125103207,1.28708633391039e-136,2.75552313226876e-132,1,0.988
"3149","22","Itk",1.0542896410335,1.38543459559407e-136,2.96607692570734e-132,0.315,0
"3150","22","Srgn",1.54746049435746,2.23667712012653e-135,4.78850204647888e-131,0.928,0.18
"3151","22","Rps19",0.969197872637286,7.25363884396278e-133,1.55293154010399e-128,1,0.991
"3152","22","Sh2d2a",1.19220490271868,1.043256825904e-129,2.23350853857787e-125,0.302,0
"3153","22","Gimap3",1.22496738042996,1.64448320293275e-128,3.52067408915871e-124,0.302,0
"3154","22","Laptm5",1.63048468271082,3.00208320089704e-127,6.42715992480048e-123,0.716,0.077
"3155","22","Cd79b",1.84515619102873,2.91673408353615e-125,6.24443599944255e-121,0.293,0.006
"3156","22","Il2rg",1.05978323118652,3.79314436785824e-125,8.12074277714771e-121,0.396,0.017
"3157","22","Irf8",1.60939991608118,2.88647362954808e-122,6.17965139349949e-118,0.45,0.139
"3158","22","Nabp1",1.044177462768,7.73370751203572e-119,1.65570944125173e-114,0.302,0.143
"3159","22","Ctsw",1.10125636015135,1.76200187007474e-114,3.77226980364301e-110,0.284,0.002
"3160","22","Ighm",1.83710742411291,2.57592697166914e-113,5.51480205364646e-109,0.311,0.029
"3161","22","Gpr171",1.00494791343663,1.54592681891723e-112,3.30967472661989e-108,0.347,0.005
"3162","22","Zcchc11",1.024496697837,9.00281342469161e-111,1.92741232609223e-106,0.541,0.293
"3163","22","Neurl3",1.45760570908999,3.33680218737598e-110,7.14375980295323e-106,0.428,0.039
"3164","22","Gimap9",0.963181452602795,3.96756241257019e-110,8.49415436907153e-106,0.32,0.036
"3165","22","Gpr18",0.984223929164853,4.83302000022811e-110,1.03470125184884e-105,0.293,0.006
"3166","22","Ptpn18",1.26221144891504,2.77239916638774e-107,5.9354293753195e-103,0.518,0.068
"3167","22","Gimap6",1.27696911068849,6.40716127940365e-106,1.37170915830753e-101,0.423,0.031
"3168","22","Tnfrsf13c",1.08332436966931,4.40778319418283e-102,9.43662304042603e-98,0.257,0.002
"3169","22","Gmfg",1.30110268222644,2.64987880210009e-101,5.67312552741609e-97,0.536,0.064
"3170","22","Icos",1.41239782720984,4.01391967337449e-101,8.59340062872744e-97,0.252,0.001
"3171","22","Il21r",1.09078206672742,3.33319411862264e-100,7.13603528855922e-96,0.401,0.035
"3172","22","Arpc3",0.959388114511137,1.35153838067394e-99,2.89350851918483e-95,0.91,0.85
"3173","22","Hcst",0.957916129632787,1.11768461177657e-98,2.39285098535245e-94,0.302,0.014
"3174","22","Ssh2",0.974812975680823,4.43418043600791e-94,9.49313689544934e-90,0.333,0.088
"3175","22","Samsn1",1.22675735717365,1.39845036743719e-93,2.99394239164628e-89,0.374,0.021
"3176","22","Ccl5",3.90196095294983,8.11663054407826e-90,1.73768943318171e-85,0.252,0.016
"3177","22","Gpr132",1.04776555621731,1.64164904500739e-89,3.51460644045632e-85,0.351,0.026
"3178","22","Rhoh",1.05218724394493,6.22883165415347e-83,1.33353056883772e-78,0.347,0.037
"3179","22","Hmgb2",0.978526720656026,6.78807517321917e-83,1.45325901383449e-78,0.577,0.411
"3180","22","Fxyd5",1.41163210744993,7.47257318693036e-83,1.59980319358992e-78,0.64,0.31
"3181","22","Ms4a6b",1.17092872845356,5.53766682835692e-81,1.18555909128293e-76,0.288,0.034
"3182","22","Btg1",1.00136985365692,1.12795883145689e-75,2.41484706226605e-71,0.955,0.873
"3183","22","Ramp3",1.74320489100974,2.99287233782026e-74,6.40744038803939e-70,0.365,0.054
"3184","22","Cenpa",1.00761664748824,6.26580167554616e-72,1.34144548071768e-67,0.387,0.077
"3185","22","Klf2",1.43963348076778,5.6110022633698e-71,1.20125947456484e-66,0.622,0.281
"3186","22","H2-K1",0.974059590766216,7.89896970181155e-71,1.69109042346083e-66,0.968,0.909
"3187","22","Cxcr4",1.10405746242045,2.20548509678211e-66,4.72172304370083e-62,0.401,0.086
"3188","22","Gpr183",1.15760825198621,2.46235712371022e-65,5.27166036615121e-61,0.315,0.03
"3189","22","Rgs1",1.8004018753169,4.04361723210225e-65,8.65698013220772e-61,0.482,0.064
"3190","22","Il7r",1.33053952831963,7.00944424575273e-61,1.5006519185732e-56,0.347,0.036
"3191","22","Napsa",1.26067245534678,5.02540928326745e-60,1.07588987345473e-55,0.266,0.019
"3192","22","Ebf1",1.2866248187202,5.88246629022308e-54,1.25937720807386e-49,0.324,0.173
"3193","22","Dusp2",1.27125004043212,6.50293018133342e-46,1.39221232252167e-41,0.477,0.134
"3194","22","Ctla2a",1.17327311650053,2.38664380289353e-37,5.10956571761476e-33,0.329,0.049
"3195","22","Cd74",1.68926223353909,4.13641841244158e-36,8.85565817919619e-32,0.378,0.134
"3196","22","H2-Ab1",1.50902811754926,3.10566867217469e-34,6.6489260602588e-30,0.356,0.093
"3197","22","Rgs2",0.999127899410426,1.11701044850739e-32,2.39140766920948e-28,0.41,0.253
"3198","22","H2-Aa",1.36143933675048,9.24012103024813e-31,1.97821751136582e-26,0.342,0.083
"3199","22","H2-Eb1",1.24805007553818,5.17117294824643e-29,1.10709641649008e-24,0.324,0.072
"3200","22","Plac8",0.968182271070696,5.47716584275427e-25,1.17260643527526e-20,0.252,0.1
"3201","23","Cytip",2.578472843257,6.61155091857761e-304,1.41546693615828e-299,0.901,0.029
"3202","23","Csf2rb",2.0786683529797,1.16623868310949e-295,2.4968003966691e-291,0.844,0.03
"3203","23","Lmnb1",1.7983316833863,3.64714852401622e-281,7.80818027506633e-277,0.792,0.152
"3204","23","Napsa",1.65260365562624,7.67033842453885e-238,1.64214275330952e-233,0.755,0.014
"3205","23","Cd52",2.48608322772585,2.02498007848985e-236,4.33527985003892e-232,0.925,0.061
"3206","23","Alox5ap",1.87798508651938,6.90900399397313e-235,1.47914866506971e-230,0.906,0.055
"3207","23","Srgn",2.67589600718475,5.93833896825332e-231,1.27133898971335e-226,1,0.18
"3208","23","Cd53",1.7238006890058,5.9968085703102e-231,1.28385674681771e-226,0.943,0.06
"3209","23","Tyrobp",2.38476289746253,1.09585873495613e-222,2.34612396566758e-218,0.986,0.085
"3210","23","Fcer1g",2.26724855666612,2.4839907144531e-218,5.31797572057265e-214,0.995,0.089
"3211","23","Lcp1",1.90195579439624,1.95497300516794e-210,4.18540170676405e-206,0.877,0.065
"3212","23","Gm2a",1.32247131618083,1.86070027760203e-209,3.98357322431819e-205,0.844,0.34
"3213","23","Emilin2",1.47547831941538,5.52433606794717e-207,1.18270510878681e-202,0.741,0.038
"3214","23","Ncf4",1.81687169270199,3.54544975078699e-206,7.59045337145986e-202,0.887,0.061
"3215","23","Fxyd5",1.85884824707969,4.0727796101756e-205,8.71941386742494e-201,0.972,0.307
"3216","23","Il1b",3.06505066232743,3.9920256753942e-201,8.54652776845143e-197,0.858,0.062
