"","gene","SC"
"82","Pikfyve",0.31906435279531
"83","Acadl",0.966953328533463
"84","Fn1",0.354583795613748
"85","Rpl37a",20.6039168974302
"86","Igfbp5",7.45754925216906
"87","Tns1",2.2901388727017
"88","Arpc2",5.22780544874571
"89","Aamp",1.26205766956161
"90","Tmbim1",1.80642200730946
"91","Ctdsp1",0.410382649266913
"92","Stk16",0.557644992606262
"93","Farsb",0.335265706918453
"94","Wdfy1",0.597291644269478
"95","Mrpl44",0.308541494023941
"96","Cul3",1.7477036356367
"97","Mff",1.24166637285014
"98","Agfg1",1.31762962065162
"99","Trip12",0.986527762745488
"100","Sp110",0.405526780079342
"101","Sp140",0.433104890414274
"102","Sp100",0.884888545808928
"103","Cab39",0.972437767689652
"104","Itm2c",2.29119320827547
"105","Psmd1",4.15161539151335
"106","Htr2b",0.724086770962023
"107","Ncl",7.66628396588268
"108","Ptma",46.0408101184803
"109","Eif4e2",0.746943213228718
"110","Inpp5d",0.54881390617729
"111","Ackr3",1.42751720736143
"112","Cops8",1.43077110980571
"113","Lrrfip1",2.6146915351772
"114","Ube2f",1.49650526858935
"115","Ilkap",0.538510433257948
"116","Ndufa10",0.720441110865362
"117","Cops9",0.451463602102378
"118","Rnpepl1",0.343694075156234
"119","Hdlbp",1.41835119203913
"120","Bok",1.27576950644887
"121","Fam174a",0.585436876668903
"122","St8sia4",0.435211088653426
"123","D1Ertd622e",0.346956510108144
"124","Pam",1.09592023923909
"125","Zcchc2",0.334880471435355
"126","Kdsr",0.557743121080501
"127","Vps4b",0.69959706442236
"128","Tsn",1.38588424016567
"129","Nifk",1.19597622995926
"130","Inhbb",1.75672847217486
"131","Ralb",3.34597810581287
"132","Tmem185b",0.441929315829952
"133","Dbi",1.47970173096657
"134","Ddx18",0.727004410047291
"135","Actr3",2.4555264375771
"136","Slc35f5",0.360881139067155
"137","Mgat5",0.388898181925032
"138","Ccnt2",0.563097882857768
"139","Rab3gap1",0.31577725477357
"140","R3hdm1",0.605207308210717
"141","Ubxn4",2.35542268681381
"142","Mcm6",0.534519621422489
"143","Mapkapk2",0.86448638532248
"144","Srgap2",0.399438558395221
"145","Slc41a1",0.509239690526778
"146","Nucks1",0.975621915145958
"147","Elk4",1.13445952451035
"148","Ppp1r15b",0.992382831626398
"149","Snrpe",3.24003314770278
"150","Atp2b4",0.760704032432565
"151","Prelp",0.377224471597643
"152","Btg2",0.876537074929523
"153","Tmem183a",0.577332092960298
"154","Cyb5r1",0.439216784299395
"155","Adipor1",1.25649511299652
"156","Arl8a",0.720467441529364
"157","Timm17a",1.89154748240095
"158","Nav1",1.3468941015058
"159","Csrp1",1.27080410111728
"160","Phlda3",0.579494923264859
"161","Camsap2",0.443287215115115
"162","Zfp281",0.683896794369634
"163","Nek7",0.688976874657475
"164","Cfh",2.41992284002533
"165","Cdc73",0.538199861819644
"166","Glrx2",0.578803951432711
"167","Trove2",0.322054409139973
"168","Uchl5",0.313312054091194
"169","Rgs2",0.374436800387814
"170","Ptgs2",1.33084056985927
"171","Tpr",1.74017208277301
"172","Hmcn1",0.937599500238354
"173","Ivns1abp",1.1616155099568
"174","Swt1",0.534607687111187
"175","Rnf2",0.489536474215487
"176","Rgl1",0.370789085846224
"177","Arpc5",2.56870723087388
"178","Smg7",0.474531984620752
